name,portrait_url,game,gender,weapon,starting_class,movement_type,hair_color,is_active,promotion_tier
Marth,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/marth.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Lord,Infantry,Blue,TRUE,Unique
Abel,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/abel.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Green,TRUE,Unpromoted
Frey,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/frey.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Blue,TRUE,Unpromoted
Jagen,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/jagen.png,Shadow Dragon,Male,Sword|Lance,Paladin,Cavalry,Gray,TRUE,Promoted
Cain (Shadow Dragon),https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/cain(shadow%20dragon).png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Red,TRUE,Unpromoted
Gordin,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/gordin.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Archer,Infantry,Green,TRUE,Unpromoted
Draug,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/draug.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Green,TRUE,Unpromoted
Norne,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/norne.png,Shadow Dragon|New Mystery of the Emblem,Female,Bow,Archer,Infantry,Red,TRUE,Unpromoted
Caeda,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/caeda.png,Shadow Dragon|New Mystery of the Emblem,Female,Lance,Pegasus Knight,Flying,Blue,TRUE,Unpromoted
Wrys,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/wrys.png,Shadow Dragon|New Mystery of the Emblem,Male,Staff,Curate,Infantry,Bald,TRUE,Unpromoted
Ogma,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/ogma.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Mercenary,Infantry,Yellow,TRUE,Unpromoted
Barst,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/barst.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Fighter,Infantry,Blue,TRUE,Unpromoted
Bord,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/bord.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Fighter,Infantry,Brown,TRUE,Unpromoted
Cord,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/cord.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Fighter,Infantry,Brown,TRUE,Unpromoted
Darros,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/darros.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe,Pirate,Infantry,Bald,TRUE,Unpromoted
Castor,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/castor.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Hunter,Infantry,Blue,TRUE,Unpromoted
